service_id,date,exception_type
39873-__Z201-LAMJV,20210426,1
39873-__Z202-LAMJV,20210426,1
39873-__Z203-LAMJV,20210426,1
39873-__Z204-LAMJV,20210426,1
39873-__Z205-LAMJV,20210426,1
39875-__Z301-LAMJV,20210426,1
39875-__Z302-LAMJV,20210426,1
39875-__Z304-LAMJV,20210426,1
39875-__Z307-LAMJV,20210426,1
39875-__Z308-LAMJV,20210426,1
39875-__Z309-LAMJV,20210426,1
39877-__Z401-LAMJV,20210426,1
39877-__Z402-LAMJV,20210426,1
39877-__Z403-LAMJV,20210426,1
39877-__Z404-LAMJV,20210426,1
39877-__Z405-LAMJV,20210426,1
39877-__Z406-LAMJV,20210426,1
39877-__Z407-LAMJV,20210426,1
39877-__Z408-LAMJV,20210426,1
39877-__Z409-LAMJV,20210426,1
39877-__Z410-LAMJV,20210426,1
39877-__Z411-LAMJV,20210426,1
39880-__Z801-LAMJV,20210426,1
39880-__Z802-LAMJV,20210426,1
39880-__Z803-LAMJV,20210426,1
39880-__Z804-LAMJV,20210426,1
39880-__Z805-LAMJV,20210426,1
39880-__Z806-LAMJV,20210426,1
39880-__Z807-LAMJV,20210426,1
39880-__Z808-LAMJV,20210426,1
39880-__Z809-LAMJV,20210426,1
39969-__6601-LAMJV,20210426,1
39969-__6602-LAMJV,20210426,1
39969-__6603-LAMJV,20210426,1
39969-__6604-LAMJV,20210426,1
39969-__6605-LAMJV,20210426,1
39969-__6606-LAMJV,20210426,1
39969-__6607-LAMJV,20210426,1
39969-__6608-LAMJV,20210426,1
39969-__6609-LAMJV,20210426,1
39969-__6610-LAMJV,20210426,1
39969-__6611-LAMJV,20210426,1
39969-__6612-LAMJV,20210426,1
39969-__6613-LAMJV,20210426,1
39969-__6614-LAMJV,20210426,1
39969-__6615-LAMJV,20210426,1
39969-__6616-LAMJV,20210426,1
39969-__6617-LAMJV,20210426,1
39969-__6618-LAMJV,20210426,1
39969-__6619-LAMJV,20210426,1
39969-__6620-LAMJV,20210426,1
39969-__6621-LAMJV,20210426,1
40422-L91E30-LAMJV,20210426,1
40422-L91E31-LAMJV,20210426,1
40422-L91E32-LAMJV,20210426,1
40422-L91E33-LAMJV,20210426,1
40422-L91E34-LAMJV,20210426,1
40422-L91E35-LAMJV,20210426,1
40485-__5801-LAMJV,20210426,1
40485-__5802-LAMJV,20210426,1
40485-__5803-LAMJV,20210426,1
40485-__5804-LAMJV,20210426,1
40485-__5805-LAMJV,20210426,1
40485-__5806-LAMJV,20210426,1
40485-__5807-LAMJV,20210426,1
40485-__5808-LAMJV,20210426,1
40485-__5809-LAMJV,20210426,1
40485-__5810-LAMJV,20210426,1
40485-__5811-LAMJV,20210426,1
40485-__5812-LAMJV,20210426,1
40515-__8001-LAMJV,20210426,1
40515-__8002-LAMJV,20210426,1
40515-__8003-LAMJV,20210426,1
40515-__8004-LAMJV,20210426,1
40515-__8005-LAMJV,20210426,1
40515-__8006-LAMJV,20210426,1
40515-__8007-LAMJV,20210426,1
40515-__8008-LAMJV,20210426,1
40515-__8009-LAMJV,20210426,1
40534-__5501-LAMJV,20210426,1
40534-__5502-LAMJV,20210426,1
40534-__5503-LAMJV,20210426,1
40534-__5504-LAMJV,20210426,1
40534-__5505-LAMJV,20210426,1
40534-__5506-LAMJV,20210426,1
40534-__5507-LAMJV,20210426,1
40534-__5508-LAMJV,20210426,1
40534-__5509-LAMJV,20210426,1
40534-__5510-LAMJV,20210426,1
40534-__5511-LAMJV,20210426,1
40534-__5512-LAMJV,20210426,1
40534-__5513-LAMJV,20210426,1
40534-__5514-LAMJV,20210426,1
40534-__5515-LAMJV,20210426,1
40534-__5516-LAMJV,20210426,1
40534-__5517-LAMJV,20210426,1
40534-__5519-LAMJV,20210426,1
40534-__5521-LAMJV,20210426,1
40534-__5522-LAMJV,20210426,1
40645-CIT501-LAMJV,20210426,1
40645-CIT502-LAMJV,20210426,1
40645-CIT503-LAMJV,20210426,1
40645-CIT504-LAMJV,20210426,1
40645-CIT505-LAMJV,20210426,1
40645-CIT506-LAMJV,20210426,1
40645-CIT507-LAMJV,20210426,1
40645-CIT508-LAMJV,20210426,1
40645-CIT509-LAMJV,20210426,1
40645-CIT510-LAMJV,20210426,1
40645-CIT511-LAMJV,20210426,1
40645-CIT512-LAMJV,20210426,1
40645-CIT513-LAMJV,20210426,1
40645-CIT514-LAMJV,20210426,1
40645-CIT515-LAMJV,20210426,1
40645-CIT516-LAMJV,20210426,1
40645-CIT517-LAMJV,20210426,1
40647-__Z601-LAMJV,20210426,1
40647-__Z602-LAMJV,20210426,1
40647-__Z603-LAMJV,20210426,1
40647-__Z604-LAMJV,20210426,1
40647-__Z605-LAMJV,20210426,1
40690-__8801-LAMJV,20210426,1
40690-__8802-LAMJV,20210426,1
40690-__8803-LAMJV,20210426,1
40690-__8804-LAMJV,20210426,1
40690-__8805-LAMJV,20210426,1
40690-__8806-LAMJV,20210426,1
40690-__8807-LAMJV,20210426,1
40690-__8808-LAMJV,20210426,1
40690-__8809-LAMJV,20210426,1
40690-__8810-LAMJV,20210426,1
40721-_60E01-LAMJV,20210426,1
40721-_60E02-LAMJV,20210426,1
40721-_60E03-LAMJV,20210426,1
40721-_60E04-LAMJV,20210426,1
40721-_60E05-LAMJV,20210426,1
40721-_60E06-LAMJV,20210426,1
40721-_60E07-LAMJV,20210426,1
40736-__3201-LAMJV,20210426,1
40736-__3202-LAMJV,20210426,1
40736-__3203-LAMJV,20210426,1
40736-__3204-LAMJV,20210426,1
40736-__3205-LAMJV,20210426,1
40736-__3206-LAMJV,20210426,1
40736-__3207-LAMJV,20210426,1
40736-__3208-LAMJV,20210426,1
40736-__3209-LAMJV,20210426,1
40736-__3210-LAMJV,20210426,1
40742-__C901-LAMJV,20210426,1
40742-__C902-LAMJV,20210426,1
40742-__C903-LAMJV,20210426,1
40742-__C904-LAMJV,20210426,1
40742-__C905-LAMJV,20210426,1
40743-_CO101-LAMJV,20210426,1
40743-_CO102-LAMJV,20210426,1
40743-_CO103-LAMJV,20210426,1
40743-_CO104-LAMJV,20210426,1
40743-_CO105-LAMJV,20210426,1
40743-_CO106-LAMJV,20210426,1
40819-_61R01-LAMJV,20210426,1
40819-_61R02-LAMJV,20210426,1
40819-_61R03-LAMJV,20210426,1
40819-_61R04-LAMJV,20210426,1
40819-_61R05-LAMJV,20210426,1
40819-_61R06-LAMJV,20210426,1
40819-_61R07-LAMJV,20210426,1
40819-_61R08-LAMJV,20210426,1
40970-__1501-LAMJV,20210426,1
40970-__1502-LAMJV,20210426,1
40970-__1503-LAMJV,20210426,1
40970-__1504-LAMJV,20210426,1
40970-__1505-LAMJV,20210426,1
40970-__1506-LAMJV,20210426,1
40970-__1507-LAMJV,20210426,1
40970-__1508-LAMJV,20210426,1
40970-__1509-LAMJV,20210426,1
41021-__1401-LAMJV,20210426,1
41021-__1402-LAMJV,20210426,1
41021-__1403-LAMJV,20210426,1
41021-__1404-LAMJV,20210426,1
41021-__1405-LAMJV,20210426,1
41021-__1406-LAMJV,20210426,1
41021-__1407-LAMJV,20210426,1
41021-__1408-LAMJV,20210426,1
41021-__1409-LAMJV,20210426,1
41021-__1410-LAMJV,20210426,1
41021-__1411-LAMJV,20210426,1
41021-__1412-LAMJV,20210426,1
41021-__1413-LAMJV,20210426,1
41021-__1414-LAMJV,20210426,1
41022-__L101-LAMJV,20210426,1
41022-__L102-LAMJV,20210426,1
41022-__L103-LAMJV,20210426,1
41022-__L104-LAMJV,20210426,1
41022-__L150-LAMJV,20210426,1
41022-__L151-LAMJV,20210426,1
41022-__L152-LAMJV,20210426,1
41022-__L153-LAMJV,20210426,1
41022-__L154-LAMJV,20210426,1
41022-__L155-LAMJV,20210426,1
41022-__L156-LAMJV,20210426,1
41022-__L157-LAMJV,20210426,1
41022-__L158-LAMJV,20210426,1
41022-__L159-LAMJV,20210426,1
41022-__L160-LAMJV,20210426,1
41022-__L161-LAMJV,20210426,1
41022-__L162-LAMJV,20210426,1
41022-__L163-LAMJV,20210426,1
41085-__8701-LAMJV,20210426,1
41085-__8702-LAMJV,20210426,1
41085-__8703-LAMJV,20210426,1
41085-__8704-LAMJV,20210426,1
41085-__8705-LAMJV,20210426,1
41085-__8706-LAMJV,20210426,1
41085-__8708-LAMJV,20210426,1
41085-__8750-LAMJV,20210426,1
41085-__8751-LAMJV,20210426,1
41085-__8752-LAMJV,20210426,1
41090-__8901-LAMJV,20210426,1
41090-__8902-LAMJV,20210426,1
41090-__8903-LAMJV,20210426,1
41090-__8904-LAMJV,20210426,1
41111-_CO201-LAMJV,20210426,1
41111-_CO202-LAMJV,20210426,1
41111-_CO203-LAMJV,20210426,1
41111-_CO204-LAMJV,20210426,1
41111-_CO205-LAMJV,20210426,1
41111-_CO206-LAMJV,20210426,1
41111-_CO207-LAMJV,20210426,1
41111-_CO208-LAMJV,20210426,1
41111-_CO209-LAMJV,20210426,1
41111-_CO210-LAMJV,20210426,1
41156-__6401-LAMJV,20210426,1
41156-__6402-LAMJV,20210426,1
41156-__6403-LAMJV,20210426,1
41156-__6404-LAMJV,20210426,1
41156-__6405-LAMJV,20210426,1
41156-__6406-LAMJV,20210426,1
41156-__6407-LAMJV,20210426,1
41156-__6409-LAMJV,20210426,1
41156-__6410-LAMJV,20210426,1
41156-__6411-LAMJV,20210426,1
41156-__6412-LAMJV,20210426,1
41156-__6413-LAMJV,20210426,1
41156-__6414-LAMJV,20210426,1
41156-__6415-LAMJV,20210426,1
41156-__6416-LAMJV,20210426,1
41156-__6417-LAMJV,20210426,1
41156-__6418-LAMJV,20210426,1
41156-__6419-LAMJV,20210426,1
41156-__6420-LAMJV,20210426,1
41156-__6421-LAMJV,20210426,1
41156-__6422-LAMJV,20210426,1
41156-__6472-LAMJV,20210426,1
41159-__6501-LAMJV,20210426,1
41159-__6502-LAMJV,20210426,1
41159-__6503-LAMJV,20210426,1
41159-__6504-LAMJV,20210426,1
41159-__6505-LAMJV,20210426,1
41159-__6506-LAMJV,20210426,1
41159-__6507-LAMJV,20210426,1
41159-__6508-LAMJV,20210426,1
41159-__6509-LAMJV,20210426,1
41161-RME101-L,20210426,1
41161-RME102-L,20210426,1
41161-RME103-L,20210426,1
41161-RME104-L,20210426,1
41161-RME110-L,20210426,1
41161-RME111-L,20210426,1
41161-RME112-L,20210426,1
41243-_21R01-LAMJV,20210426,1
41243-_21R02-LAMJV,20210426,1
41243-_21R03-LAMJV,20210426,1
41243-_21R04-LAMJV,20210426,1
41243-_21R05-LAMJV,20210426,1
41243-_21R06-LAMJV,20210426,1
41243-_21R07-LAMJV,20210426,1
41243-_21R08-LAMJV,20210426,1
41243-_21R09-LAMJV,20210426,1
41243-_21R10-LAMJV,20210426,1
41243-_21R11-LAMJV,20210426,1
41243-_21R12-LAMJV,20210426,1
41243-_21R13-LAMJV,20210426,1
41243-_21R14-LAMJV,20210426,1
41243-_21R15-LAMJV,20210426,1
41243-_21R16-LAMJV,20210426,1
41243-_21R19-LAMJV,20210426,1
41243-_21R20-LAMJV,20210426,1
41243-_21R21-LAMJV,20210426,1
41243-_21R22-LAMJV,20210426,1
41243-_21R23-LAMJV,20210426,1
41243-_21R24-LAMJV,20210426,1
41243-_21R25-LAMJV,20210426,1
41243-_21R26-LAMJV,20210426,1
41243-_21R27-LAMJV,20210426,1
41243-_21R28-LAMJV,20210426,1
41243-_21R29-LAMJV,20210426,1
41243-_21R30-LAMJV,20210426,1
41243-_21R31-LAMJV,20210426,1
41243-_21R32-LAMJV,20210426,1
41243-_21R33-LAMJV,20210426,1
41243-_21R34-LAMJV,20210426,1
41243-_21R35-LAMJV,20210426,1
41243-_21R36-LAMJV,20210426,1
41243-_21R37-LAMJV,20210426,1
41243-_21R38-LAMJV,20210426,1
41243-_21R39-LAMJV,20210426,1
41243-_21R40-LAMJV,20210426,1
